id,week_no,filter_name,treatment,replicate_no,flavonoids,biomass,variety,date,investigator
1,0,ptp,nofilter,1,1.061,0.39,cos,01/04/2019,Aoife Coffey
2,0,ptp,nofilter,2,1.1805,0.42,cos,01/04/2019,Aoife Coffey
3,0,ptp,nofilter,3,1.0345,0.62,cos,01/04/2019,Aoife Coffey
4,0,ptp,nofilter,4,1.094,0.63,cos,01/04/2019,Aoife Coffey
1,0,my,nofilter,1,1.061,0.39,cos,01/04/2019,Aoife Coffey
2,0,my,nofilter,2,1.1805,0.42,cos,01/04/2019,Aoife Coffey
3,0,my,nofilter,3,1.0345,0.62,cos,01/04/2019,Aoife Coffey
4,0,my,nofilter,4,1.094,0.63,cos,01/04/2019,Aoife Coffey
1,0,ca,nofilter,1,1.061,0.39,cos,01/04/2019,Aoife Coffey
2,0,ca,nofilter,2,1.1805,0.42,cos,01/04/2019,Aoife Coffey
3,0,ca,nofilter,3,1.0345,0.62,cos,01/04/2019,Aoife Coffey
4,0,ca,nofilter,4,1.094,0.63,cos,01/04/2019,Aoife Coffey
5,1,ptp,filter,1,0.87,0.76,cos,08/04/2019,Aoife Coffey
6,1,ptp,filter,2,0.847,0.95,cos,08/04/2019,Aoife Coffey
7,1,ptp,filter,3,1.022,0.95,cos,08/04/2019,Aoife Coffey
8,1,ptp,filter,4,0.916,0.95,cos,08/04/2019,Aoife Coffey
9,1,my,filter,1,1.119,1.55,cos,08/04/2019,Aoife Coffey
10,1,my,filter,2,0.845,3.16,cos,08/04/2019,Aoife Coffey
11,1,my,filter,3,1.299,4.9,cos,08/04/2019,Aoife Coffey
12,1,my,filter,4,1.149,5.5,cos,08/04/2019,Aoife Coffey
13,1,ca,filter,1,0.716,5.5,cos,08/04/2019,Aoife Coffey
14,1,ca,filter,2,0.881,7.94,cos,08/04/2019,Aoife Coffey
15,1,ca,filter,3,0.586,8.71,cos,08/04/2019,Aoife Coffey
16,1,ca,filter,4,0.561,8.71,cos,08/04/2019,Aoife Coffey
17,2,ptp,filter,1,0,14.45,cos,15/04/2019,Aoife Coffey
18,2,ptp,filter,2,1.006,2.14,cos,15/04/2019,Aoife Coffey
19,2,ptp,filter,3,1.236,1.86,cos,15/04/2019,Aoife Coffey
20,2,ptp,filter,4,1.206,1.2,cos,15/04/2019,Aoife Coffey
21,2,my,filter,1,1.545,2.45,cos,15/04/2019,Aoife Coffey
22,2,my,filter,2,1.418,6.92,cos,15/04/2019,Aoife Coffey
23,2,my,filter,3,1.768,8.91,cos,15/04/2019,Aoife Coffey
24,2,my,filter,4,1.326,10.72,cos,15/04/2019,Aoife Coffey
25,2,ca,filter,1,1.167,12.3,cos,15/04/2019,Aoife Coffey
26,2,ca,filter,2,1.06,12.3,cos,15/04/2019,Aoife Coffey
27,2,ca,filter,3,1.296,13.8,cos,15/04/2019,Aoife Coffey
28,2,ca,filter,4,1.143,14.13,cos,15/04/2019,Aoife Coffey
29,3,ptp,filter,1,2.869,19.05,cos,22/04/2019,Aoife Coffey
30,3,ptp,filter,2,2.739,2.19,cos,22/04/2019,Aoife Coffey
31,3,ptp,filter,3,2.558,1.74,cos,22/04/2019,Aoife Coffey
32,3,ptp,filter,4,3.514,1.55,cos,22/04/2019,Aoife Coffey
33,3,my,filter,1,3.176,2.24,cos,22/04/2019,Aoife Coffey
34,3,my,filter,2,2.778,10.72,cos,22/04/2019,Aoife Coffey
35,3,my,filter,3,0,11.22,cos,22/04/2019,Aoife Coffey
36,3,my,filter,4,4.46,12.02,cos,22/04/2019,Aoife Coffey
37,3,ca,filter,1,2.853,21.38,cos,22/04/2019,Aoife Coffey
38,3,ca,filter,2,2.727,19.05,cos,22/04/2019,Aoife Coffey
39,3,ca,filter,3,2.678,14.45,cos,22/04/2019,Aoife Coffey
40,3,ca,filter,4,1.606,13.49,cos,22/04/2019,Aoife Coffey
41,0,ptp,nofilter,1,0.7435,0.47,sky,01/04/2019,Aoife Coffey
42,0,ptp,nofilter,2,0.1575,0.5,sky,01/04/2019,Aoife Coffey
43,0,ptp,nofilter,3,1.1045,0.74,sky,01/04/2019,Aoife Coffey
44,0,ptp,nofilter,4,0.895,0.76,sky,01/04/2019,Aoife Coffey
41,0,my,nofilter,1,0.7435,0.47,sky,01/04/2019,Aoife Coffey
42,0,my,nofilter,2,0.1575,0.5,sky,01/04/2019,Aoife Coffey
43,0,my,nofilter,3,1.1045,0.74,sky,01/04/2019,Aoife Coffey
44,0,my,nofilter,4,0.895,0.76,sky,01/04/2019,Aoife Coffey
41,0,ca,nofilter,1,0.7435,0.47,sky,01/04/2019,Aoife Coffey
42,0,ca,nofilter,2,0.1575,0.5,sky,01/04/2019,Aoife Coffey
43,0,ca,nofilter,3,1.1045,0.74,sky,01/04/2019,Aoife Coffey
44,0,ca,nofilter,4,0.895,0.76,sky,01/04/2019,Aoife Coffey
45,1,ptp,filter,1,0.822,0.91,sky,08/04/2019,Aoife Coffey
46,1,ptp,filter,2,0.651,1.15,sky,08/04/2019,Aoife Coffey
47,1,ptp,filter,3,0.902,1.15,sky,08/04/2019,Aoife Coffey
48,1,ptp,filter,4,0.599,1.15,sky,08/04/2019,Aoife Coffey
49,1,my,filter,1,0.873,1.86,sky,08/04/2019,Aoife Coffey
50,1,my,filter,2,0.917,3.79,sky,08/04/2019,Aoife Coffey
51,1,my,filter,3,0.822,5.88,sky,08/04/2019,Aoife Coffey
52,1,my,filter,4,0.0967,6.59,sky,08/04/2019,Aoife Coffey
53,1,ca,filter,1,0.496,6.59,sky,08/04/2019,Aoife Coffey
54,1,ca,filter,2,0.568,9.53,sky,08/04/2019,Aoife Coffey
55,1,ca,filter,3,0.437,10.45,sky,08/04/2019,Aoife Coffey
56,1,ca,filter,4,0.6,10.45,sky,08/04/2019,Aoife Coffey
57,2,ptp,filter,1,1.218,17.35,sky,15/04/2019,Aoife Coffey
58,2,ptp,filter,2,0.974,1.44,sky,15/04/2019,Aoife Coffey
59,2,ptp,filter,3,1.197,2.23,sky,15/04/2019,Aoife Coffey
60,2,ptp,filter,4,1.295,2.57,sky,15/04/2019,Aoife Coffey
61,2,my,filter,1,1.36,12.86,sky,15/04/2019,Aoife Coffey
62,2,my,filter,2,1.203,10.7,sky,15/04/2019,Aoife Coffey
63,2,my,filter,3,1.295,8.3,sky,15/04/2019,Aoife Coffey
64,2,my,filter,4,1.216,2.95,sky,15/04/2019,Aoife Coffey
65,2,ca,filter,1,0.935,14.76,sky,15/04/2019,Aoife Coffey
66,2,ca,filter,2,1.005,14.76,sky,15/04/2019,Aoife Coffey
67,2,ca,filter,3,0.993,16.56,sky,15/04/2019,Aoife Coffey
68,2,ca,filter,4,0.978,16.95,sky,15/04/2019,Aoife Coffey
69,3,ptp,filter,1,0,22.87,sky,22/04/2019,Aoife Coffey
70,3,ptp,filter,2,2.38,1.86,sky,22/04/2019,Aoife Coffey
71,3,ptp,filter,3,2.538,2.09,sky,22/04/2019,Aoife Coffey
72,3,ptp,filter,4,2.028,2.63,sky,22/04/2019,Aoife Coffey
73,3,my,filter,1,2.767,2.69,sky,22/04/2019,Aoife Coffey
74,3,my,filter,2,0,12.86,sky,22/04/2019,Aoife Coffey
75,3,my,filter,3,2.477,13.46,sky,22/04/2019,Aoife Coffey
76,3,my,filter,4,2.233,14.43,sky,22/04/2019,Aoife Coffey
77,3,ca,filter,1,2.201,16.19,sky,22/04/2019,Aoife Coffey
78,3,ca,filter,2,1.86,16.19,sky,22/04/2019,Aoife Coffey
79,3,ca,filter,3,2.14,17.35,sky,22/04/2019,Aoife Coffey
80,3,ca,filter,4,1.742,22.87,sky,22/04/2019,Aoife Coffey
81,0,ptp,nofilter,1,0.9425,0.61,red,01/04/2019,Aoife Coffey
82,0,ptp,nofilter,2,0.4495,0.59,red,01/04/2019,Aoife Coffey
83,0,ptp,nofilter,3,0.86,0.4,red,01/04/2019,Aoife Coffey
84,0,ptp,nofilter,4,0.5995,0.37,red,01/04/2019,Aoife Coffey
81,0,my,nofilter,1,0.9425,0.61,red,01/04/2019,Aoife Coffey
82,0,my,nofilter,2,0.4495,0.59,red,01/04/2019,Aoife Coffey
83,0,my,nofilter,3,0.86,0.4,red,01/04/2019,Aoife Coffey
84,0,my,nofilter,4,0.5995,0.37,red,01/04/2019,Aoife Coffey
81,0,ca,nofilter,1,0.9425,0.61,red,01/04/2019,Aoife Coffey
82,0,ca,nofilter,2,0.4495,0.59,red,01/04/2019,Aoife Coffey
83,0,ca,nofilter,3,0.86,0.4,red,01/04/2019,Aoife Coffey
84,0,ca,nofilter,4,0.5995,0.37,red,01/04/2019,Aoife Coffey
85,1,ptp,filter,1,0.703,0.73,red,08/04/2019,Aoife Coffey
86,1,ptp,filter,2,0.379,0.92,red,08/04/2019,Aoife Coffey
87,1,ptp,filter,3,0.521,0.92,red,08/04/2019,Aoife Coffey
88,1,ptp,filter,4,0.748,0.92,red,08/04/2019,Aoife Coffey
89,1,my,filter,1,0.896,1.49,red,08/04/2019,Aoife Coffey
90,1,my,filter,2,0.853,3.04,red,08/04/2019,Aoife Coffey
91,1,my,filter,3,0.435,4.7,red,08/04/2019,Aoife Coffey
92,1,my,filter,4,0.272,5.28,red,08/04/2019,Aoife Coffey
93,1,ca,filter,1,0.382,5.28,red,08/04/2019,Aoife Coffey
94,1,ca,filter,2,0.386,7.63,red,08/04/2019,Aoife Coffey
95,1,ca,filter,3,0.237,8.36,red,08/04/2019,Aoife Coffey
96,1,ca,filter,4,0.331,8.36,red,08/04/2019,Aoife Coffey
97,2,ptp,filter,1,0.715,13.88,red,15/04/2019,Aoife Coffey
98,2,ptp,filter,2,0.286,1.15,red,15/04/2019,Aoife Coffey
99,2,ptp,filter,3,0.585,1.79,red,15/04/2019,Aoife Coffey
100,2,ptp,filter,4,0.652,2.05,red,15/04/2019,Aoife Coffey
101,2,my,filter,1,0.421,2.36,red,15/04/2019,Aoife Coffey
102,2,my,filter,2,0.502,6.64,red,15/04/2019,Aoife Coffey
103,2,my,filter,3,0.675,8.56,red,15/04/2019,Aoife Coffey
104,2,my,filter,4,0.42,10.29,red,15/04/2019,Aoife Coffey
105,2,ca,filter,1,0.273,11.81,red,15/04/2019,Aoife Coffey
106,2,ca,filter,2,0.373,11.81,red,15/04/2019,Aoife Coffey
107,2,ca,filter,3,0.612,13.25,red,15/04/2019,Aoife Coffey
108,2,ca,filter,4,0.278,13.56,red,15/04/2019,Aoife Coffey
109,3,ptp,filter,1,1.069,18.29,red,22/04/2019,Aoife Coffey
110,3,ptp,filter,2,1.688,2.1,red,22/04/2019,Aoife Coffey
111,3,ptp,filter,3,1.333,1.67,red,22/04/2019,Aoife Coffey
112,3,ptp,filter,4,1.33,1.49,red,22/04/2019,Aoife Coffey
113,3,my,filter,1,1.259,2.15,red,22/04/2019,Aoife Coffey
114,3,my,filter,2,1.183,10.29,red,22/04/2019,Aoife Coffey
115,3,my,filter,3,2.614,10.77,red,22/04/2019,Aoife Coffey
116,3,my,filter,4,1.246,11.54,red,22/04/2019,Aoife Coffey
117,3,ca,filter,1,3.202,12.95,red,22/04/2019,Aoife Coffey
118,3,ca,filter,2,1.421,12.95,red,22/04/2019,Aoife Coffey
119,3,ca,filter,3,1.229,13.88,red,22/04/2019,Aoife Coffey
120,3,ca,filter,4,1.856,18.29,red,22/04/2019,Aoife Coffey
